IdPF,ValorGenericoPF,ValorMGPF
369,"110,25","119,56"
370,"323,31","350,6"
371,"113,99","123,61"
372,"327,03","354,63"
373,"175,33","188,16"
374,"85,53","91,79"
375,"256,61","275,39"
376,"201,8","218,83"
377,"403,59","437,65"
378,"605,39","656,48"
379,"91,16","98,86"
380,"182,33","197,72"
381,"182,39","197,78"
382,"364,77","395,56"
383,"729,56","791,13"
384,"79,39","85,2"
385,"158,78","170,4"
386,"60,48","65,59"
387,"120,96","131,16"
388,"241,92","262,34"
389,"241,93","262,35"
390,"484,32","525,19"
391,"968,64","1050,38"
392,"363,27","393,93"
393,"726,53","787,84"
394,"1453,07","1575,7"
395,"472,83","512,74"
396,"945,66","1025,47"
397,"1590,89","1725,15"
398,"28,34","30,73"
399,"17,63","19,12"
400,"7,1","7,69"
401,"8,77","9,51"
402,"61,2","66,36"
403,"79,74","86,46"
404,"19,64","21,3"
405,"14,84","16,09"
406,"7,74","8,4"
407,"13,25","14,37"
408,"73,85","80,09"
409,"32,08","34,79"
410,"21,27","23,07"
411,"14,56","15,79"
412,"161,01","174,6"
413,"16,11","17,47"
414,"8,22","8,82"
415,"82,11","88,12"
416,"33,41","35,85"
417,"230,45","247,32"
418,"37,85","40,62"
419,"19,04","20,65"
420,"37,35","40,5"
421,"14,98","16,24"
422,"25,46","27,61"
423,"12,05","12,93"
424,24,"25,76"
425,"122,51","131,48"
426,"178,94","192,04"
427,"77,32","82,98"
428,"22,83","24,5"
429,"34,27","36,78"
430,"68,52","73,54"
431,64,"69,4"
432,"23,65","25,65"
433,"47,3","51,29"
434,"23,39","25,36"
435,"40,57",44
436,"75,46","81,83"
437,"113,2","122,75"
438,"254,67","276,16"
439,"16,32","17,69"
440,"32,63","35,39"
441,"44,25","47,98"
442,"77,1","83,61"
443,"23,31","25,28"
444,"46,63","50,56"
445,"58,28","63,19"
446,69,"74,82"
447,"120,54","130,71"
448,"75,45","81,82"
449,"128,27","139,1"
450,"136,28","147,78"
451,"146,6","158,97"
452,"257,58","279,32"
453,"37,95","41,15"
454,"48,38","52,47"
455,"23,26","25,23"
456,"17,55","19,03"
457,"12,69","13,76"
458,"5,58","5,99"
459,"8,02","8,61"
460,"14,94","16,04"
461,"40,23","43,62"
462,"15,52","16,66"
463,"451,7","484,76"
464,"210,99","226,43"
465,"394,76","423,65"
466,"25,9","27,79"
467,"7,42","7,96"
468,"5,88","6,3"
469,"7,05","7,56"
470,"9,63","10,33"
471,"6,83","7,33"
472,"143,31","153,79"
473,"7,9","8,48"
474,"8,8","9,44"
475,"12,25","13,15"
476,8,"8,59"
477,"12,02","12,9"
478,"6,47","6,94"
479,"6,9","7,4"
480,"6,08","6,52"
481,"10,55","11,32"
482,"6,76","7,26"
483,"13,83","14,84"
484,"7,7","8,27"
485,"11,64","12,49"
486,"271,42","294,33"
487,"494,53","536,27"
488,"7,58","8,13"
489,"7,3","7,92"
490,"219,54","238,07"
491,"15,09","16,2"
492,"12,42","13,33"
493,"68,67","73,7"
494,"665,42","714,11"
495,"106,9","115,93"
496,"1035,77","1123,18"
497,"190,79","206,89"
498,"1848,34","2004,33"
499,"112,94","121,21"
500,"1129,63","1212,28"
501,"193,85","208,04"
502,"91,4","98,09"
503,"527,88","572,43"
504,"782,98","849,06"
505,"1047,17","1135,54"
506,"1311,35","1422,02"
507,"770,88","835,94"
508,"1013,64","1099,18"
509,"642,02","696,2"
510,2604,"2823,76"
511,868,"941,25"
512,"3472,02","3765,03"
513,"1301,99","1411,87"
514,"5208,03","5647,55"
515,"1736,86","1883,44"
516,"6947,46","7533,78"
517,"2170,86","2354,07"
518,"6512,62","7062,23"
519,"14,6","15,67"
520,"100,82","108,2"
521,"2420,5","2597,61"
522,"5042,73","5411,71"
523,"8068,39","8658,75"
524,"171,84","184,41"
525,"8249,03","8852,61"
526,"672,94","722,18"
527,"3364,9","3611,11"
528,"2243,38","2407,52"
529,"6730,3","7222,75"
530,"612,53","657,35"
531,"1513,43","1624,17"
532,213,"228,59"
533,"17042,52","18289,52"
534,"1170,51","1256,16"
535,"29,08","31,21"
536,"72,8","78,12"
537,"291,18","312,49"
538,"1776,65","1926,58"
539,"133,15","142,89"
540,"305,44","327,79"
541,"780,93","838,07"
542,"1688,35","1811,89"
543,"1550,07","1663,49"
544,"151,06","162,11"
545,"751,75","806,76"
546,"403,85","433,4"
547,"108,6","116,55"
548,"302,78","324,94"
549,"1621,31","1739,94"
550,"3242,63","3479,89"
551,"177,51","190,5"
552,"137,77","147,85"
553,"2701,39","2899,05"
554,"2032,75","2181,49"
555,"157,26","168,77"
556,"193,56","207,72"
557,"333,02","357,39"
558,"611,76","656,52"
559,"6117,72","6565,35"
560,"175,36","190,16"
561,"277,25","297,54"
562,"365,35","392,09"
563,"244,28","262,16"
564,"270,73","290,54"
565,"45,11","48,41"
566,"235,34","252,56"
567,"598,13","641,89"
568,"1670,98","1793,24"
569,"70,65","75,82"
570,"1766,36","1895,61"
571,"712,24","764,35"
572,"3269,38","3508,6"
573,"592,98","636,37"
574,"388,28","416,7"
575,"4265,26","4577,35"
576,"631,1","677,28"
577,"1147,68","1231,66"
578,"1234,22","1324,52"
579,"469,73","504,1"
580,"898,15","963,87"
581,"510,89","548,27"
582,"626,16","671,98"
583,"6890,59","7472,1"
584,"103,43",111
585,"185,95","199,56"
586,"544,56","584,4"
587,"661,84","710,27"
588,"1323,7","1420,56"
589,"282,18","302,83"
590,"96,06","103,09"
591,"192,11","206,17"
592,"1279,85","1373,5"
593,"1762,13","1891,06"
594,"2156,68","2314,49"
595,"964,68","1035,27"
596,"1618,08","1736,48"
597,"61,74","66,26"
598,"67,78","72,74"
599,"79,28","85,09"
600,"265,3","284,71"
601,"569,51","611,18"
602,"1340,98","1439,1"
603,"291,33","312,65"
604,"701,03","752,33"
605,"569,26","610,91"
606,"1033,53","1109,16"
607,"297,99","319,79"
608,"401,76","431,16"
609,"408,13","437,99"
610,"1028,32","1103,56"
611,"185,4","198,96"
612,"340,23","365,12"
613,"965,84","1036,51"
614,"233,01","250,06"
615,"66,76","72,39"
616,"18,43","19,78"
617,"92,18","98,93"
618,"387,02","415,34"
619,"774,06","830,69"
620,"731,61","785,15"
621,"698,6","749,72"
622,"1142,85","1226,48"
623,"122,03","130,96"
624,"2313,78","2483,08"
625,"461,46","500,4"
626,"110,66",120
627,"345,47","370,74"
628,"609,95","654,59"
629,"3252,43","3490,41"
630,"6099,99","6546,33"
631,"282,3","302,95"
632,"450,3","483,24"
633,"4362,13","4681,3"
634,"2618,39","2809,98"
635,"145,61","156,27"
636,"301,61","323,68"
637,"452,5","485,61"
638,"1456,39","1562,95"
639,"1809,85","1942,28"
640,"2659,59","2854,19"
641,"248,97","267,18"
642,"1054,65","1131,82"
643,"105,45","113,17"
644,"2109,31","2263,65"
645,"860,88","923,87"
646,"621,34","666,8"
647,"803,65","862,45"
648,"644,8","691,98"
649,"129,68","139,17"
650,"255,97","274,7"
651,"100,85","108,23"
652,"119,19","129,25"
653,"1192,1","1292,71"
654,"238,43","258,55"
655,"2384,5","2585,73"
656,"164,69","176,74"
657,"1646,98","1767,49"
658,"4133,73","4436,19"
659,"3925,82","4213,07"
660,"1016,43","1090,8"
661,"10164,33","10908,06"
662,"1129,27","1211,9"
663,"1991,35","2137,06"
664,"112,91","121,17"
665,"199,14","213,71"
666,"3199,76","3433,89"
667,"5550,73","5956,88"
668,"27,34","29,34"
669,"47,58","51,06"
670,"48,38","51,91"
671,"32,48","34,85"
672,"3653,39","3920,71"
673,"16,65","17,87"
674,"20,41","21,9"
675,"34,72","37,26"
676,"927,9","995,79"
677,"35,55","38,15"
678,"71,05","76,24"
679,"15,56","16,7"
680,"37,17","39,89"
681,"97,17","104,28"
682,"15,15","16,26"
683,"16,28","17,48"
684,"39,15","42,01"
685,"32,65","35,04"
686,"58,69","62,99"
687,"90,93","97,59"
688,"136,39","146,37"
689,"9,76","10,48"
690,"22,73","24,39"
691,"39,79","43,14"
692,"12,7","13,77"
693,"21,74","23,33"
694,"44,9","48,18"
695,"36,34",39
696,"70,5","75,66"
697,"34,92","37,48"
698,"64,65","69,38"
699,"124,31","133,4"
700,"171,2","183,73"
701,"1712,01","1837,28"
702,"130,23","139,76"
703,"50,64","54,34"
704,"199,42","214,01"
705,"21,7","23,29"
706,"177,38","190,35"
707,"43,34","46,51"
708,"28,75","31,18"
709,"1217,03","1306,09"
710,"23,41","25,12"
711,"55,65","59,72"
712,"30,4","32,62"
713,"74,19","79,62"
714,"75,26","80,77"
715,"107,48","115,34"
716,"32,28","34,65"
717,"19,7","21,15"
718,"20,95","22,49"
719,"631,02","677,2"
720,"126,2","135,44"
721,"12,63","13,55"
722,"22,65","24,3"
723,"22,25","24,12"
724,"22,72","24,64"
725,"28,45","30,85"
726,"38,27","41,5"
727,"9,55","10,35"
728,"2269,01","2435,04"
729,"19,09","20,49"
730,"28,7","30,8"
731,"129,17","138,62"
732,"473,43","508,07"
733,"20,97","22,5"
734,"32,98","35,39"
735,"31,61","33,93"
736,"18,42","19,77"
737,"31,69","34,01"
738,"25,19","27,04"
739,"2446,26","2652,71"
740,"39,45","42,34"
741,"81,02","86,95"
742,"128,08","137,45"
743,"47,49","50,96"
744,"826,73","887,22"
745,"445,03","477,6"
746,"46,13","50,02"
747,"47,32","51,31"
748,"129,81","140,76"
749,"7249,51","7779,96"
750,"25,38","27,52"
751,"28,66","31,08"
752,"25,37","27,51"
753,"56,45","61,21"
754,"4016,22","4310,08"
755,"18,39","19,73"
756,"25,92","27,82"
757,"19,02","20,41"
758,"1011,65","1085,67"
759,"17,73","19,22"
760,"18,14","19,67"
761,"718,74","771,33"
762,"48,9","52,48"
763,"69,81","74,91"
764,"730,23","783,66"
765,"1166,35","1251,69"
766,"457,15","490,6"
767,"52,98","56,85"
768,"82,64","88,68"
769,"31,28","33,92"
770,"47,24","50,7"
771,"22,76","24,43"
772,"12,72","13,8"
773,"25,31","27,44"
774,"12,36","13,41"
775,"19,69","21,35"
776,"18,37","19,92"
777,"1604,43","1721,83"
778,3209,"3443,8"
779,"16044,33","17218,3"
780,"32089,96","34437,99"
781,"13,69","14,85"
782,"26,29","28,51"
783,"13,01","14,11"
784,"1490,65","1599,72"
785,"14906,45","15997,16"
786,"13,92","14,94"
787,"47,88","51,38"
788,"454,85","488,13"
789,"1519,19","1630,35"
790,"13002,97","13954,4"
791,"43344,59","46516,13"
792,"33,07","35,49"
793,"353,85","379,74"
794,"47,13","50,57"
795,"25,36","27,22"
796,"13,45","14,59"
797,"21,77","23,37"
798,"14,9","15,99"
799,"73,38","78,74"
800,"57,53","61,74"
801,"1355,11","1454,27"
802,"21,4","23,21"
803,"18,41","19,76"
804,"94,65","101,57"
805,"492,82","528,88"
806,"664,3","712,9"
807,"1328,57","1425,78"
808,"18,58","19,94"
809,"604,86","649,12"
810,"13,37","14,5"
811,"1141,52","1225,05"
812,"2283,26","2450,33"
813,"17,88","19,39"
814,"72,36","77,66"
815,"102,57","110,07"
816,"30,89","33,15"
817,"122,85","131,84"
818,"166,07","178,22"
819,"10,31","11,06"
820,"24,11","25,88"
821,"34,18","36,68"
822,"32,31","35,04"
823,"15,63","16,77"
824,"25,72","27,89"
825,"12,86","13,95"
826,"14,33","15,54"
827,"21,66","23,24"
828,"43,35","46,52"
829,"44,35","47,6"
830,"88,72","95,21"
831,"94,57","101,49"
832,"182,48","195,83"
833,"36,07","38,71"
834,"23,89","25,63"
835,"18,25","19,59"
