IdPMC,ValorGenericoPMC,ValorMGPMC
871,"19,73","21,18"
872,"12,54","13,45"
873,"47,26","51,12"
874,"78,74","85,16"
875,"12,54","13,58"
876,"74,63","80,72"
877,"17,82","19,12"
878,"85,81","92,08"
879,"36,39","39,04"
880,"61,73","66,23"
881,"107,82","115,71"
882,"35,75","38,66"
883,"51,2","55,38"
884,"16834,51","18207,71"
885,"9,88","10,69"
886,"29,59",32
887,"16,5","17,85"
888,"48,92","52,91"
889,"110,12","119,11"
890,"5701,19","6118,35"
891,"24,34","26,33"
892,"51,17","55,34"
893,"44,67","48,32"
894,"69,37","75,02"
895,"26,74","28,7"
896,"80,15","86,02"
897,"40,69","43,67"
898,"122,08","131,01"
899,"7,34","7,88"
900,"14,72","15,8"
901,"19,23","20,64"
902,"37,33","40,06"
903,"42,29","45,75"
904,"219,43","237,32"
905,"81,74","87,72"
906,"138,11","148,21"
907,"18,17","19,65"
908,"47,59","51,47"
909,"72,64","78,57"
910,"82,19","88,2"
911,"284,17","304,97"
912,"167,58","179,84"
913,"670,28","719,33"
914,"3351,56","3596,79"
915,"4668,46","5010,05"
916,"6002,3","6441,49"
917,"8211,48","8812,32"
918,"84,21","91,08"
919,"168,36","182,1"
920,"252,57","273,16"
921,"505,13","546,34"
922,"65,08","70,39"
923,"337,58","365,11"
924,"37,34","40,08"
925,"44,1","47,32"
926,"22,22","23,83"
927,"9,25","9,93"
928,"18,44","19,8"
929,"23,83","25,58"
930,"57,45","61,66"
931,"32,67","35,04"
932,"98,02","105,19"
933,"2390,27","2565,18"
934,"190,78","204,74"
935,"74,26","79,7"
936,"35,96","38,58"
937,"44,09","47,31"
938,"46,34","49,74"
939,"27,26","29,48"
940,"40,39","43,69"
941,"118,34",127
942,"207,32","222,49"
943,"13,71","14,72"
944,"41,14","44,16"
945,"14,42","15,48"
946,"43,24","46,41"
947,"40,3","43,24"
948,"17,16","18,41"
949,"33,86","36,33"
950,"24,58","26,39"
951,"23,34","25,04"
952,"46,64","50,06"
953,"34,09","36,58"
954,"134,11","143,93"
955,"21,13","22,86"
956,"42,28","45,72"
957,"31,26","33,81"
958,"54,47","58,91"
959,"46,2","49,97"
960,"69,18","74,82"
961,"123,77","132,84"
962,"174,31","187,07"
963,"41,68","44,72"
964,"12,05","12,93"
965,"46,38","49,77"
966,"26,82","28,78"
967,"80,43","86,32"
968,"85,43","91,68"
969,"46,92","50,36"
970,"29,25","31,64"
971,"57,1","61,75"
972,"34,67","37,2"
973,"54,81","58,82"
974,"234,82","252,01"
975,"28,64","30,98"
976,"24,41","26,2"
977,"44,8","48,46"
978,"164,48","176,51"
979,"81,7","87,69"
980,"103,07","110,61"
981,"157,09","168,57"
982,"212,41","227,95"
983,"17,43","18,72"
984,"34,35","36,87"
985,"52,34","56,17"
986,"70,81","75,98"
987,"586,57","629,48"
988,"100,45","107,8"
989,"60,4","64,82"
990,"70,02","75,14"
991,"29,21","31,34"
992,"125,11","134,26"
993,"58,38","62,65"
994,"250,21","268,51"
995,"76,85","82,48"
996,"1238,29","1328,9"
997,"112,16","120,36"
998,"213,09","228,67"
999,"153,59","164,83"
1000,"291,82","313,18"
1001,"29,16","31,28"
1002,"33,43","35,87"
1003,"47,35","50,82"
1004,"38,38","41,5"
1005,"76,82","83,1"
1006,"58,72","63,51"
1007,"176,16","190,53"
1008,"54,36","58,34"
1009,"92,03","98,76"
1010,"15,71",17
1011,"59,07","63,9"
1012,"118,16","127,81"
1013,"14,68","15,88"
1014,"44,05","47,64"
1015,"48,25","51,77"
1016,"96,49","103,54"
1017,"289,5","310,68"
1018,"48,81","52,38"
1019,"146,46","157,18"
1020,"292,87","314,3"
1021,"15,75","17,03"
1022,"59,04","63,86"
1023,"118,06","127,69"
1024,"15,82","16,98"
1025,"49,62","53,24"
1026,"130,42","139,96"
1027,"45,95","49,71"
1028,"115,32","124,73"
1029,"345,93","374,14"
1030,"136,54","147,69"
1031,"409,64","443,06"
1032,"223,86","240,24"
1033,"208,96","224,25"
1034,"20,74","22,26"
1035,"63,8","68,46"
1036,"97,23","104,35"
1037,"19,82","21,28"
1038,"22,58","24,22"
1039,"67,71","72,66"
1040,"14,41","15,46"
1041,"17,74","19,19"
1042,"19,38","20,81"
1043,"80,59","87,16"
1044,"41,24","44,59"
1045,"87,91","94,34"
1046,"162,31","174,19"
1047,"292,19","313,58"
1048,"42,73","46,22"
1049,"128,16","138,6"
1050,"19,46","20,89"
1051,"27,93","29,97"
1052,"79,92","85,77"
1053,"79,36","85,83"
1054,"233,18","250,24"
1055,"19,74","21,19"
1056,"59,22","63,56"
1057,"29,13","31,26"
1058,"87,36","93,76"
1059,"58,21","62,49"
1060,"174,67","187,46"
1061,"91,07","98,5"
1062,"9,23","9,91"
1063,"57,44","61,64"
1064,"66,04","70,88"
1065,"24,98","26,81"
1066,"39,36","42,23"
1067,"20,97","22,51"
1068,"62,98","67,59"
1069,"62,97","67,57"
1070,"43,33","46,86"
1071,"62,54","67,65"
1072,"34,7","37,53"
1073,"21,79","23,38"
1074,"21,36","22,93"
1075,"32,04","34,4"
1076,"32,74","35,13"
1077,"140,32","150,59"
1078,"50,1","53,76"
1079,"214,69","230,4"
1080,"31,23","33,51"
1081,"10,38","11,14"
1082,"25,41","27,49"
1083,"52,64","56,93"
1084,"107,46","115,31"
1085,"84,36","90,54"
1086,"118,12","126,77"
1087,"82,71","88,77"
1088,"100,93","108,31"
1089,"23,57","25,28"
1090,"38,36","41,17"
1091,"191,83","205,86"
1092,"245,94","263,92"
1093,"159,87","171,56"
1094,"60,86","65,83"
1095,"121,74","131,67"
1096,"191,44","207,05"
1097,"76,58","82,83"
1098,"91,15","98,59"
1099,"30,78","33,29"
1100,"25083,93","27130,05"
1101,"25964,2","28082,12"
1102,"33611,29","36353,01"
1103,"27598,35","29849,58"
1104,"35452,99","38344,91"
1105,"20412,61","22077,68"
1106,"30515,29","33004,46"
1107,"16,47","17,81"
1108,"34,65","37,48"
1109,"96,59","104,47"
1110,"11,53","12,47"
1111,"26,7","28,88"
1112,"24,05","25,81"
1113,"21,99","23,6"
1114,"31,84","34,17"
1115,"70,46","75,62"
1116,"39,32","42,19"
1117,"24,99","26,82"
1118,"17,56","18,84"
1119,"21,65","23,23"
1120,"90,98","97,63"
1121,"174,2","186,95"
1122,"51,73","55,52"
1123,"27,73","29,75"
1124,"28,99","31,35"
1125,"51,6","55,81"
1126,"17,14","18,39"
1127,"24,29","26,06"
1128,"23,17","24,87"
1129,"23,27","24,97"
1130,"43,27","46,44"
1131,"34,26","36,77"
1132,"113,5","121,81"
1133,"12,82","13,76"
1134,"41,11","44,11"
1135,"27,22","29,44"
1136,"7,47","8,09"
1137,"55,86","59,96"
1138,"61,99","66,52"
1139,"65,58","70,38"
1140,"84,51","90,69"
1141,"84,98","91,19"
1142,"133,85","143,64"
